Tree ID,Species Name,DBH,Structural Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits",xCoordinate,yCoordinate,Comments
,,(in),($),(lb),($),(lb/yr),($/yr),(ft³/yr),($/yr),(lb/yr),($/yr),(oz/yr),($/yr),($/yr),($/yr),,,
4742,American elm,26.80,4915.45,2441.90,158.39,34.30,2.23,71.00,4.75,N/A,N/A,32.70,3.61,N/A,10.59,42.79,-86.13,
4743,American elm,36.70,8512.33,5190.60,336.68,53.20,3.45,100.00,6.69,N/A,N/A,46.00,5.09,N/A,15.23,42.79,-86.13,
4744,American elm,26.10,4678.24,2291.70,148.65,33.10,2.15,69.00,4.61,N/A,N/A,31.70,3.51,N/A,10.26,42.79,-86.13,
4745,American elm,25.00,4318.17,2066.80,134.06,31.20,2.02,65.50,4.38,N/A,N/A,30.10,3.33,N/A,9.73,42.79,-86.13,
4746,American elm,17.10,2187.62,831.10,53.91,18.40,1.19,40.20,2.69,N/A,N/A,18.50,2.05,N/A,5.92,42.78,-86.10,
4747,American elm,9.60,904.84,208.10,13.50,8.20,0.53,21.00,1.40,N/A,N/A,9.70,1.07,N/A,3.01,42.78,-86.10,
4748,American elm,23.30,3792.18,1745.60,113.22,28.20,1.83,60.10,4.02,N/A,N/A,27.70,3.06,N/A,8.91,42.78,-86.10,
4749,American elm,31.90,6698.94,3708.50,240.55,43.80,2.84,87.30,5.83,N/A,N/A,40.10,4.44,N/A,13.11,42.78,-86.11,
4750,American elm,28.10,5372.64,2735.70,177.45,36.70,2.38,75.30,5.03,N/A,N/A,34.60,3.83,N/A,11.24,42.77,-86.12,
4751,American elm,40.70,9927.31,6652.50,431.51,61.50,3.99,102.90,6.88,N/A,N/A,47.30,5.23,N/A,16.10,42.77,-86.12,
4752,American elm,37.20,8693.98,5361.80,347.79,54.20,3.52,101.10,6.76,N/A,N/A,46.50,5.14,N/A,15.42,42.78,-86.12,
4753,American elm,5.50,193.96,54.70,3.55,3.80,0.25,8.50,0.57,N/A,N/A,3.90,0.43,N/A,1.24,42.78,-86.10,
4754,American basswood,27.40,6022.86,1956.50,126.91,26.40,1.71,54.40,3.63,N/A,N/A,25.00,2.77,N/A,8.11,42.78,-86.10,
4755,American basswood,26.40,5609.29,1792.30,116.26,25.10,1.63,52.50,3.51,N/A,N/A,24.10,2.67,N/A,7.81,42.78,-86.10,
4756,American basswood,17.50,2605.86,679.70,44.09,14.40,0.93,39.60,2.65,N/A,N/A,18.20,2.02,N/A,5.60,42.78,-86.10,
4757,American basswood,32.20,8053.49,2862.90,185.70,32.90,2.13,63.10,4.22,N/A,N/A,29.00,3.21,N/A,9.56,42.78,-86.10,
4758,American basswood,11.70,1303.98,263.00,17.06,8.40,0.54,23.70,1.59,N/A,N/A,10.90,1.21,N/A,3.34,42.79,-86.05,
4759,American basswood,13.30,1611.46,355.90,23.08,9.90,0.65,28.80,1.92,N/A,N/A,13.20,1.46,N/A,4.03,42.79,-86.05,
4760,American basswood,16.10,2244.26,558.40,36.22,12.90,0.84,36.50,2.44,N/A,N/A,16.80,1.86,N/A,5.14,42.79,-86.05,
4761,American basswood,1.50,48.94,2.10,0.13,0.50,0.04,1.60,0.11,N/A,N/A,0.70,0.08,N/A,0.22,42.79,-86.05,
4762,American basswood,6.50,325.08,65.80,4.27,3.80,0.25,8.70,0.58,N/A,N/A,4.00,0.44,N/A,1.27,42.79,-86.06,
4763,American basswood,7.80,719.37,101.10,6.56,4.80,0.31,11.80,0.79,N/A,N/A,5.40,0.60,N/A,1.71,42.79,-86.06,
4764,American basswood,9.60,960.13,165.00,10.70,6.40,0.42,16.90,1.13,N/A,N/A,7.80,0.86,N/A,2.41,42.79,-86.06,
4765,American basswood,12.90,1530.90,331.20,21.48,9.50,0.62,27.60,1.84,N/A,N/A,12.70,1.40,N/A,3.87,42.79,-86.06,
4766,American basswood,11.70,1303.98,263.00,17.06,8.40,0.54,23.70,1.59,N/A,N/A,10.90,1.21,N/A,3.34,42.79,-86.06,
4767,American basswood,5.90,267.83,52.30,3.40,3.30,0.22,7.50,0.50,N/A,N/A,3.40,0.38,N/A,1.10,42.79,-86.06,
4768,American basswood,6.80,355.78,73.20,4.75,4.00,0.26,9.40,0.63,N/A,N/A,4.30,0.48,N/A,1.37,42.79,-86.06,
4769,American basswood,21.70,3859.48,1124.50,72.94,19.20,1.25,42.10,2.81,N/A,N/A,19.40,2.14,N/A,6.20,42.79,-86.06,
4770,American basswood,15.00,1981.29,472.60,30.65,11.70,0.76,33.70,2.25,N/A,N/A,15.50,1.72,N/A,4.73,42.79,-86.06,
4771,American basswood,9.60,960.13,165.00,10.70,6.40,0.42,16.90,1.13,N/A,N/A,7.80,0.86,N/A,2.41,42.79,-86.06,
4772,American basswood,10.70,1131.79,213.10,13.82,7.40,0.48,20.40,1.37,N/A,N/A,9.40,1.04,N/A,2.89,42.79,-86.06,
4773,American basswood,12.40,1433.66,301.70,19.57,9.00,0.59,25.90,1.73,N/A,N/A,11.90,1.32,N/A,3.63,42.79,-86.06,
4774,American basswood,16.20,2266.94,565.90,36.71,13.00,0.84,36.70,2.46,N/A,N/A,16.90,1.87,N/A,5.17,42.79,-86.06,
4775,American basswood,4.90,184.74,33.80,2.19,2.60,0.17,5.60,0.37,N/A,N/A,2.60,0.29,N/A,0.83,42.79,-86.06,
4776,American basswood,4.60,162.81,29.10,1.89,2.40,0.15,5.10,0.34,N/A,N/A,2.30,0.26,N/A,0.76,42.79,-86.06,
4777,American basswood,9.60,960.13,165.00,10.70,6.40,0.42,16.90,1.13,N/A,N/A,7.80,0.86,N/A,2.41,42.79,-86.06,
4778,American basswood,10.50,1099.19,203.80,13.22,7.20,0.47,19.70,1.32,N/A,N/A,9.10,1.00,N/A,2.79,42.79,-86.06,
4779,American basswood,9.00,874.34,141.70,9.19,5.90,0.38,15.20,1.02,N/A,N/A,7.00,0.77,N/A,2.17,42.79,-86.06,
4780,American basswood,8.10,756.04,110.50,7.17,5.10,0.33,12.70,0.85,N/A,N/A,5.80,0.65,N/A,1.83,42.79,-86.06,
4781,American basswood,5.80,258.83,50.30,3.26,3.30,0.21,7.20,0.48,N/A,N/A,3.30,0.37,N/A,1.06,42.79,-86.06,
4782,American basswood,9.70,974.97,169.10,10.97,6.50,0.42,17.30,1.16,N/A,N/A,8.00,0.88,N/A,2.46,42.79,-86.06,
4783,American basswood,7.60,695.70,95.10,6.17,4.70,0.30,11.40,0.76,N/A,N/A,5.20,0.58,N/A,1.64,42.79,-86.06,
4784,American basswood,7.60,695.70,95.10,6.17,4.70,0.30,11.40,0.76,N/A,N/A,5.20,0.58,N/A,1.64,42.79,-86.06,
4785,American basswood,16.70,2395.55,608.70,39.48,13.50,0.88,37.90,2.53,N/A,N/A,17.40,1.93,N/A,5.34,42.79,-86.06,
4786,American basswood,2.10,48.94,4.60,0.30,0.80,0.05,2.10,0.14,N/A,N/A,1.00,0.11,N/A,0.30,42.79,-86.06,
4787,American basswood,13.70,1694.48,381.60,24.75,10.40,0.67,30.00,2.01,N/A,N/A,13.80,1.53,N/A,4.21,42.79,-86.06,
4788,American basswood,15.10,2004.43,480.10,31.14,11.80,0.77,34.00,2.27,N/A,N/A,15.60,1.73,N/A,4.77,42.79,-86.06,
4789,American basswood,14.00,1758.36,401.60,26.05,10.70,0.69,31.00,2.07,N/A,N/A,14.20,1.58,N/A,4.34,42.79,-86.06,
4790,American basswood,17.60,2632.85,688.90,44.69,14.50,0.94,39.80,2.66,N/A,N/A,18.30,2.02,N/A,5.62,42.79,-86.07,
4791,American basswood,13.20,1591.09,349.60,22.68,9.80,0.64,28.40,1.90,N/A,N/A,13.10,1.44,N/A,3.98,42.79,-86.08,
4792,American basswood,2.00,48.94,4.10,0.26,0.80,0.05,2.00,0.13,N/A,N/A,0.90,0.10,N/A,0.29,42.78,-86.06,
4793,American basswood,2.40,48.94,6.30,0.41,1.00,0.07,2.30,0.16,N/A,N/A,1.10,0.12,N/A,0.34,42.78,-86.06,
4794,American basswood,2.40,48.94,6.30,0.41,1.00,0.07,2.30,0.16,N/A,N/A,1.10,0.12,N/A,0.34,42.78,-86.06,
4795,American basswood,1.70,48.94,2.80,0.18,0.60,0.04,1.70,0.12,N/A,N/A,0.80,0.09,N/A,0.25,42.79,-86.06,
4796,American basswood,14.80,1935.47,457.90,29.70,11.50,0.75,33.30,2.23,N/A,N/A,15.30,1.69,N/A,4.67,42.77,-86.12,
4797,American basswood,7.50,684.09,92.20,5.98,4.60,0.30,11.00,0.74,N/A,N/A,5.10,0.56,N/A,1.59,42.77,-86.12,
4798,American basswood,1.60,48.94,2.40,0.16,0.60,0.04,1.70,0.11,N/A,N/A,0.80,0.09,N/A,0.24,42.77,-86.12,
4799,American basswood,16.30,2294.08,574.90,37.29,13.10,0.85,37.10,2.48,N/A,N/A,17.10,1.89,N/A,5.22,42.77,-86.13,
4800,American basswood,14.30,1823.63,422.20,27.39,11.00,0.71,31.90,2.13,N/A,N/A,14.70,1.62,N/A,4.47,42.77,-86.13,
4801,American basswood,9.90,1005.10,177.40,11.51,6.70,0.43,17.80,1.19,N/A,N/A,8.20,0.90,N/A,2.53,42.77,-86.13,
4802,American basswood,1.60,48.94,2.40,0.16,0.60,0.04,1.70,0.11,N/A,N/A,0.80,0.09,N/A,0.24,42.77,-86.13,
4803,American basswood,7.40,672.64,89.30,5.79,4.50,0.29,10.80,0.72,N/A,N/A,5.00,0.55,N/A,1.57,42.77,-86.13,
4804,American basswood,16.10,2244.26,558.40,36.22,12.90,0.84,36.50,2.44,N/A,N/A,16.80,1.86,N/A,5.14,42.77,-86.12,
4805,American basswood,12.50,1452.80,307.40,19.94,9.10,0.59,26.20,1.75,N/A,N/A,12.00,1.33,N/A,3.68,42.77,-86.12,
4806,American basswood,10.60,1115.41,208.40,13.52,7.30,0.48,20.20,1.35,N/A,N/A,9.30,1.03,N/A,2.85,42.77,-86.12,
4807,American basswood,12.00,1358.63,279.20,18.11,8.70,0.56,24.70,1.65,N/A,N/A,11.40,1.26,N/A,3.47,42.77,-86.12,
4808,American basswood,16.40,2319.21,583.30,37.83,13.20,0.86,37.10,2.48,N/A,N/A,17.10,1.89,N/A,5.22,42.77,-86.12,
4809,American basswood,14.90,1958.30,465.20,30.17,11.60,0.75,33.50,2.24,N/A,N/A,15.40,1.70,N/A,4.70,42.77,-86.12,
4810,American basswood,1.60,48.94,2.40,0.16,0.60,0.04,1.70,0.11,N/A,N/A,0.80,0.08,N/A,0.23,42.78,-86.11,
4811,American basswood,14.40,1845.69,429.20,27.84,11.10,0.72,31.90,2.13,N/A,N/A,14.70,1.62,N/A,4.47,42.78,-86.11,
4812,American basswood,13.10,1570.87,343.40,22.27,9.70,0.63,28.10,1.88,N/A,N/A,12.90,1.43,N/A,3.94,42.78,-86.11,
4813,American basswood,14.00,1758.36,401.60,26.05,10.70,0.69,31.00,2.07,N/A,N/A,14.20,1.58,N/A,4.34,42.77,-86.11,
4814,American basswood,15.90,2195.07,542.20,35.17,12.70,0.82,36.10,2.41,N/A,N/A,16.60,1.84,N/A,5.07,42.78,-86.11,
4815,American basswood,17.30,2552.36,661.60,42.91,14.20,0.92,39.20,2.62,N/A,N/A,18.00,1.99,N/A,5.53,42.77,-86.11,
4816,American basswood,17.40,2579.04,670.60,43.50,14.30,0.93,39.30,2.63,N/A,N/A,18.10,2.00,N/A,5.56,42.77,-86.11,
4817,American basswood,23.40,4460.84,1348.60,87.47,21.40,1.38,45.80,3.06,N/A,N/A,21.00,2.33,N/A,6.77,42.77,-86.11,
4818,American basswood,16.00,2219.59,550.30,35.69,12.80,0.83,36.30,2.43,N/A,N/A,16.70,1.85,N/A,5.10,42.77,-86.11,
4819,American basswood,11.40,1250.71,247.40,16.05,8.10,0.52,22.60,1.51,N/A,N/A,10.40,1.15,N/A,3.18,42.77,-86.11,
4820,American basswood,1.60,48.94,2.40,0.16,0.60,0.04,1.70,0.11,N/A,N/A,0.80,0.08,N/A,0.23,42.77,-86.11,
4821,American basswood,12.30,1414.67,296.00,19.20,9.00,0.58,25.40,1.70,N/A,N/A,11.70,1.29,N/A,3.58,42.77,-86.11,
4822,American basswood,1.60,48.94,2.40,0.16,0.60,0.04,1.70,0.11,N/A,N/A,0.80,0.08,N/A,0.23,42.78,-86.12,
4823,American basswood,13.20,1591.09,349.60,22.68,9.80,0.64,28.40,1.90,N/A,N/A,13.10,1.44,N/A,3.98,42.78,-86.12,
4824,American basswood,1.50,48.94,2.10,0.13,0.50,0.04,1.60,0.11,N/A,N/A,0.70,0.08,N/A,0.22,42.78,-86.12,
4825,American basswood,14.50,1867.90,436.30,28.30,11.20,0.73,32.30,2.16,N/A,N/A,14.90,1.64,N/A,4.53,42.77,-86.10,
4826,American basswood,14.80,1935.47,457.90,29.70,11.50,0.75,33.20,2.22,N/A,N/A,15.30,1.69,N/A,4.66,42.77,-86.10,
4827,American basswood,31.60,7772.04,2738.70,177.64,32.10,2.08,62.20,4.16,N/A,N/A,28.60,3.17,N/A,9.41,42.77,-86.10,
4828,American basswood,37.60,10480.32,4126.40,267.66,40.60,2.63,70.30,4.70,N/A,N/A,32.30,3.58,N/A,10.91,42.77,-86.10,
4829,American basswood,12.90,1530.90,331.20,21.48,9.50,0.62,27.60,1.84,N/A,N/A,12.70,1.40,N/A,3.87,42.77,-86.10,
4830,American basswood,16.70,2395.55,608.70,39.48,13.50,0.88,38.00,2.54,N/A,N/A,17.50,1.94,N/A,5.36,42.77,-86.10,
4831,American basswood,1.60,48.94,2.40,0.16,0.60,0.04,1.70,0.11,N/A,N/A,0.80,0.08,N/A,0.23,42.77,-86.10,
4832,American basswood,18.90,2997.60,815.00,52.86,16.00,1.04,35.40,2.37,N/A,N/A,16.30,1.80,N/A,5.21,42.78,-86.11,
4833,American basswood,31.20,7583.09,2657.60,172.38,31.50,2.04,61.60,4.12,N/A,N/A,28.40,3.14,N/A,9.30,42.77,-86.10,
4834,American basswood,11.60,1286.07,257.80,16.72,8.30,0.54,23.50,1.57,N/A,N/A,10.80,1.19,N/A,3.30,42.77,-86.10,
4835,American basswood,13.70,1694.48,381.60,24.75,10.40,0.67,29.80,1.99,N/A,N/A,13.70,1.52,N/A,4.18,42.77,-86.10,
4836,American basswood,19.70,3234.98,898.70,58.29,16.90,1.10,37.40,2.50,N/A,N/A,17.20,1.91,N/A,5.51,42.77,-86.10,
4837,American basswood,18.20,2797.97,745.60,48.36,15.20,0.99,40.80,2.73,N/A,N/A,18.80,2.08,N/A,5.79,42.77,-86.10,
4838,American basswood,14.10,1779.96,408.40,26.49,10.80,0.70,31.00,2.07,N/A,N/A,14.30,1.58,N/A,4.35,42.78,-86.12,
4839,American basswood,11.90,1340.26,273.80,17.76,8.60,0.56,24.20,1.62,N/A,N/A,11.10,1.23,N/A,3.40,42.77,-86.09,
4840,American basswood,11.50,1268.31,252.60,16.38,8.20,0.53,23.10,1.54,N/A,N/A,10.60,1.17,N/A,3.25,42.77,-86.09,
