Tree ID,Species Name,DBH,Structural Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits",xCoordinate,yCoordinate,Comments
,,(in),($),(lb),($),(lb/yr),($/yr),(ft³/yr),($/yr),(lb/yr),($/yr),(oz/yr),($/yr),($/yr),($/yr),,,
5792,Norway maple,19.20,3904.50,1331.00,86.34,24.30,1.58,42.90,2.87,N/A,N/A,19.70,2.18,N/A,6.62,42.77,-86.11,
5793,Norway maple,10.30,1213.50,327.20,21.22,11.00,0.72,25.10,1.68,N/A,N/A,11.60,1.28,N/A,3.67,42.77,-86.11,
5794,Norway maple,18.50,3634.01,1223.90,79.38,23.20,1.50,42.50,2.84,N/A,N/A,19.50,2.16,N/A,6.51,42.77,-86.11,
5795,Norway maple,16.80,3018.94,984.60,63.86,20.50,1.33,40.80,2.73,N/A,N/A,18.80,2.08,N/A,6.14,42.77,-86.11,
5796,Norway maple,15.00,2432.26,762.70,49.47,17.80,1.15,38.00,2.54,N/A,N/A,17.50,1.94,N/A,5.63,42.77,-86.11,
5797,Norway maple,20.10,4267.02,1476.10,95.74,25.80,1.67,43.20,2.89,N/A,N/A,19.90,2.20,N/A,6.75,42.77,-86.11,
5798,Norway maple,19.90,4185.03,1442.30,93.55,25.40,1.65,43.10,2.88,N/A,N/A,19.80,2.19,N/A,6.72,42.77,-86.11,
5799,Norway maple,16.90,3053.48,997.70,64.72,20.70,1.34,40.90,2.74,N/A,N/A,18.80,2.08,N/A,6.16,42.77,-86.11,
5800,Norway maple,13.50,1994.10,601.40,39.01,15.50,1.01,34.60,2.31,N/A,N/A,15.90,1.76,N/A,5.08,42.77,-86.11,
5801,Norway maple,16.60,2950.48,958.20,62.15,20.20,1.31,40.60,2.71,N/A,N/A,18.70,2.06,N/A,6.09,42.77,-86.11,
5802,Norway maple,20.80,4560.46,1594.00,103.39,26.90,1.75,50.50,3.37,N/A,N/A,23.20,2.57,N/A,7.69,42.77,-86.11,
5803,Norway maple,14.20,2192.84,674.20,43.73,16.60,1.07,36.40,2.43,N/A,N/A,16.70,1.85,N/A,5.36,42.77,-86.11,
5804,Norway maple,2.30,65.25,11.30,0.74,1.70,0.11,3.10,0.21,N/A,N/A,1.40,0.16,N/A,0.48,42.77,-86.11,
5805,Norway maple,23.30,5690.47,2059.50,133.59,31.10,2.02,56.90,3.80,N/A,N/A,26.20,2.89,N/A,8.71,42.77,-86.11,
5806,Norway maple,11.50,1481.63,419.10,27.18,12.70,0.82,28.90,1.93,N/A,N/A,13.30,1.47,N/A,4.22,42.77,-86.11,
5807,Norway maple,17.70,3337.19,1107.30,71.82,21.90,1.42,41.80,2.79,N/A,N/A,19.20,2.13,N/A,6.34,42.77,-86.11,
5808,Norway maple,20.50,4433.47,1542.30,100.04,26.40,1.71,49.70,3.32,N/A,N/A,22.90,2.53,N/A,7.56,42.77,-86.11,
5809,Norway maple,13.90,2106.43,642.00,41.64,16.10,1.05,35.40,2.36,N/A,N/A,16.30,1.80,N/A,5.21,42.77,-86.11,
5810,Norway maple,18.40,3596.19,1209.10,78.43,23.00,1.49,42.40,2.84,N/A,N/A,19.50,2.16,N/A,6.49,42.77,-86.11,
5811,Norway maple,17.60,3301.01,1093.80,70.95,21.80,1.41,41.80,2.79,N/A,N/A,19.20,2.13,N/A,6.33,42.77,-86.11,
5812,Norway maple,12.40,1702.09,496.50,32.21,14.00,0.90,31.60,2.12,N/A,N/A,14.60,1.61,N/A,4.63,42.77,-86.11,
5813,Norway maple,19.00,3826.19,1299.20,84.27,24.00,1.56,42.70,2.86,N/A,N/A,19.70,2.17,N/A,6.59,42.77,-86.11,
5814,Norway maple,13.20,1912.00,571.80,37.09,15.10,0.98,33.80,2.26,N/A,N/A,15.50,1.72,N/A,4.96,42.77,-86.11,
5815,Norway maple,18.00,3446.96,1150.20,74.61,22.40,1.45,42.10,2.81,N/A,N/A,19.30,2.14,N/A,6.40,42.77,-86.11,
5816,Norway maple,14.50,2281.08,706.60,45.83,17.00,1.10,37.00,2.47,N/A,N/A,17.00,1.88,N/A,5.46,42.77,-86.11,
5817,Norway maple,19.00,3826.19,1299.70,84.30,24.00,1.56,42.80,2.86,N/A,N/A,19.70,2.18,N/A,6.59,42.77,-86.11,
5818,Norway maple,19.40,3983.62,1361.80,88.33,24.60,1.60,42.90,2.87,N/A,N/A,19.70,2.18,N/A,6.65,42.77,-86.11,
5819,Norway maple,16.40,2882.83,932.20,60.47,19.90,1.29,40.20,2.69,N/A,N/A,18.50,2.05,N/A,6.03,42.77,-86.11,
5820,Norway maple,13.50,1994.10,601.40,39.01,15.50,1.01,34.50,2.31,N/A,N/A,15.90,1.76,N/A,5.07,42.77,-86.11,
5821,Norway maple,17.10,3123.18,1024.70,66.47,21.00,1.36,41.20,2.75,N/A,N/A,18.90,2.10,N/A,6.21,42.77,-86.11,
5822,Norway maple,16.80,3018.94,984.20,63.84,20.50,1.33,40.80,2.73,N/A,N/A,18.80,2.07,N/A,6.13,42.77,-86.11,
5823,Norway maple,12.90,1831.75,542.80,35.21,14.70,0.95,33.00,2.21,N/A,N/A,15.20,1.68,N/A,4.84,42.77,-86.11,
5824,Norway maple,17.10,3123.18,1024.30,66.44,21.00,1.36,41.10,2.75,N/A,N/A,18.90,2.09,N/A,6.20,42.77,-86.11,
5825,Norway maple,12.50,1727.61,505.50,32.79,14.10,0.91,31.70,2.12,N/A,N/A,14.60,1.61,N/A,4.65,42.77,-86.11,
5826,Norway maple,13.20,1912.00,571.60,37.07,15.10,0.98,33.70,2.26,N/A,N/A,15.50,1.72,N/A,4.95,42.77,-86.11,
5827,Norway maple,16.90,3053.48,997.70,64.72,20.70,1.34,40.90,2.74,N/A,N/A,18.80,2.08,N/A,6.16,42.77,-86.11,
5828,Norway maple,22.10,5132.08,1827.90,118.56,29.10,1.89,53.90,3.60,N/A,N/A,24.80,2.74,N/A,8.23,42.77,-86.11,
5829,Norway maple,16.30,2849.32,920.00,59.67,19.70,1.28,40.20,2.69,N/A,N/A,18.50,2.05,N/A,6.02,42.77,-86.11,
5830,Norway maple,14.70,2340.94,728.80,47.27,17.30,1.12,37.40,2.50,N/A,N/A,17.20,1.90,N/A,5.52,42.77,-86.11,
5831,Norway maple,15.30,2525.43,797.10,51.70,18.20,1.18,38.40,2.57,N/A,N/A,17.70,1.96,N/A,5.71,42.77,-86.11,
5832,Norway maple,16.50,2916.55,945.70,61.34,20.00,1.30,40.50,2.71,N/A,N/A,18.60,2.06,N/A,6.07,42.77,-86.11,
5833,Norway maple,4.20,180.97,43.60,2.83,3.60,0.23,6.40,0.43,N/A,N/A,2.90,0.33,N/A,0.99,42.77,-86.11,
5834,Norway maple,1.80,65.25,6.60,0.43,1.30,0.08,2.50,0.17,N/A,N/A,1.20,0.13,N/A,0.38,42.77,-86.11,
5835,Norway maple,20.40,4391.55,1526.00,98.98,26.30,1.70,49.40,3.31,N/A,N/A,22.70,2.52,N/A,7.52,42.77,-86.11,
5836,Norway maple,17.20,3158.34,1038.20,67.34,21.10,1.37,41.30,2.76,N/A,N/A,19.00,2.10,N/A,6.24,42.77,-86.11,
5837,Norway maple,20.00,4225.92,1459.10,94.65,25.60,1.66,43.10,2.88,N/A,N/A,19.80,2.19,N/A,6.74,42.77,-86.11,
5838,Norway maple,1.20,65.25,2.70,0.17,0.80,0.05,1.80,0.12,N/A,N/A,0.80,0.09,N/A,0.26,42.77,-86.11,
5839,Norway maple,1.20,65.25,2.70,0.17,0.80,0.05,1.80,0.12,N/A,N/A,0.80,0.09,N/A,0.26,42.77,-86.11,
5840,Norway maple,11.80,1553.27,444.40,28.82,13.10,0.85,29.90,2.00,N/A,N/A,13.80,1.52,N/A,4.37,42.77,-86.11,
5841,Norway maple,17.10,3123.18,1024.70,66.47,21.00,1.36,41.20,2.75,N/A,N/A,18.90,2.10,N/A,6.21,42.77,-86.11,
5842,Norway maple,11.40,1458.15,410.80,26.65,12.50,0.81,28.40,1.90,N/A,N/A,13.10,1.45,N/A,4.16,42.77,-86.11,
5843,Norway maple,9.30,1012.61,260.00,16.86,9.70,0.63,21.70,1.45,N/A,N/A,10.00,1.10,N/A,3.18,42.77,-86.11,
5844,Norway maple,9.20,993.65,253.70,16.46,9.60,0.62,21.20,1.42,N/A,N/A,9.80,1.08,N/A,3.12,42.77,-86.11,
5845,Norway maple,16.60,2950.48,958.20,62.15,20.20,1.31,40.60,2.71,N/A,N/A,18.70,2.06,N/A,6.09,42.77,-86.11,
5846,Norway maple,8.60,884.18,218.10,14.14,8.80,0.57,19.40,1.30,N/A,N/A,8.90,0.99,N/A,2.85,42.77,-86.11,
5847,Norway maple,11.10,1388.97,387.10,25.11,12.10,0.79,27.70,1.85,N/A,N/A,12.70,1.41,N/A,4.04,42.77,-86.11,
5848,Norway maple,25.20,6634.96,2459.00,159.50,34.40,2.23,61.30,4.10,N/A,N/A,28.20,3.12,N/A,9.45,42.77,-86.11,
5849,Norway maple,16.80,3018.94,984.60,63.86,20.50,1.33,40.80,2.73,N/A,N/A,18.80,2.08,N/A,6.14,42.77,-86.11,
5850,Norway maple,13.30,1939.16,581.80,37.73,15.30,0.99,34.20,2.29,N/A,N/A,15.70,1.74,N/A,5.01,42.77,-86.11,
5851,Norway maple,1.70,65.25,5.80,0.38,1.20,0.08,2.40,0.16,N/A,N/A,1.10,0.12,N/A,0.36,42.77,-86.11,
5852,Norway maple,2.00,65.25,8.30,0.54,1.50,0.09,2.80,0.18,N/A,N/A,1.30,0.14,N/A,0.42,42.77,-86.11,
5853,Norway maple,10.00,1151.08,305.90,19.84,10.60,0.69,23.70,1.59,N/A,N/A,10.90,1.21,N/A,3.49,42.77,-86.11,
5854,Norway maple,12.50,1727.61,505.90,32.82,14.10,0.91,32.00,2.14,N/A,N/A,14.70,1.63,N/A,4.69,42.77,-86.11,
5855,Norway maple,13.20,1912.00,571.80,37.09,15.10,0.98,33.80,2.26,N/A,N/A,15.50,1.72,N/A,4.96,42.77,-86.11,
5856,Norway maple,10.80,1321.63,363.70,23.59,11.70,0.76,26.40,1.77,N/A,N/A,12.20,1.34,N/A,3.87,42.77,-86.11,
5857,Norway maple,12.20,1651.66,478.70,31.05,13.70,0.89,31.00,2.07,N/A,N/A,14.30,1.58,N/A,4.54,42.77,-86.11,
5858,Norway maple,3.10,98.59,22.10,1.44,2.50,0.16,4.40,0.29,N/A,N/A,2.00,0.22,N/A,0.68,42.77,-86.11,
5859,Norway maple,5.30,288.17,73.60,4.77,4.80,0.31,9.20,0.62,N/A,N/A,4.30,0.47,N/A,1.40,42.77,-86.11,
5860,Norway maple,9.70,1090.51,285.60,18.53,10.20,0.66,22.80,1.53,N/A,N/A,10.50,1.16,N/A,3.35,42.77,-86.11,
5861,Norway maple,6.20,394.35,104.50,6.78,5.80,0.38,11.60,0.78,N/A,N/A,5.30,0.59,N/A,1.75,42.77,-86.11,
5862,Norway maple,9.90,1130.68,299.10,19.40,10.50,0.68,23.50,1.57,N/A,N/A,10.80,1.20,N/A,3.45,42.77,-86.11,
5863,Norway maple,11.40,1458.15,410.80,26.65,12.50,0.81,28.40,1.90,N/A,N/A,13.10,1.45,N/A,4.16,42.77,-86.11,
5864,Norway maple,8.70,901.92,223.70,14.51,8.90,0.58,19.40,1.30,N/A,N/A,8.90,0.99,N/A,2.87,42.77,-86.11,
5865,Norway maple,14.90,2401.62,751.10,48.72,17.60,1.14,37.70,2.52,N/A,N/A,17.40,1.92,N/A,5.58,42.78,-86.11,
5866,Norway maple,8.90,937.99,235.60,15.28,9.20,0.60,20.30,1.35,N/A,N/A,9.30,1.03,N/A,2.98,42.78,-86.11,
5867,Norway maple,11.50,1481.63,419.10,27.18,12.70,0.82,28.90,1.93,N/A,N/A,13.30,1.47,N/A,4.22,42.77,-86.11,
5868,Norway maple,6.20,394.35,104.50,6.78,5.80,0.38,11.60,0.78,N/A,N/A,5.30,0.59,N/A,1.75,42.77,-86.11,
5869,Norway maple,9.90,1130.68,299.00,19.39,10.50,0.68,23.50,1.57,N/A,N/A,10.80,1.19,N/A,3.44,42.77,-86.12,
5870,Norway maple,3.00,92.33,20.50,1.33,2.40,0.15,4.10,0.28,N/A,N/A,1.90,0.21,N/A,0.64,42.78,-86.12,
5871,Norway maple,2.70,74.79,16.20,1.05,2.10,0.14,3.70,0.25,N/A,N/A,1.70,0.19,N/A,0.57,42.78,-86.12,
5872,Norway maple,1.00,65.25,1.80,0.12,0.60,0.04,1.60,0.11,N/A,N/A,0.70,0.08,N/A,0.23,42.78,-86.12,
5873,Norway maple,8.20,815.31,195.80,12.70,8.30,0.54,17.80,1.19,N/A,N/A,8.20,0.91,N/A,2.64,42.78,-86.12,
5874,Norway maple,2.90,86.28,19.10,1.24,2.30,0.15,4.10,0.27,N/A,N/A,1.90,0.21,N/A,0.63,42.78,-86.12,
5875,Norway maple,2.90,86.28,19.00,1.24,2.30,0.15,4.00,0.27,N/A,N/A,1.80,0.20,N/A,0.62,42.78,-86.12,
5876,Norway maple,10.70,1299.60,356.50,23.13,11.60,0.75,26.40,1.77,N/A,N/A,12.20,1.34,N/A,3.86,42.78,-86.12,
5877,Norway maple,18.30,3558.58,1194.00,77.45,22.90,1.48,42.30,2.83,N/A,N/A,19.50,2.15,N/A,6.46,42.78,-86.12,
5878,Norway maple,2.40,65.25,12.50,0.81,1.80,0.12,3.20,0.22,N/A,N/A,1.50,0.16,N/A,0.50,42.77,-86.12,
5879,Norway maple,18.30,3558.58,1194.40,77.48,22.90,1.48,42.40,2.83,N/A,N/A,19.50,2.16,N/A,6.47,42.77,-86.11,
5880,Norway maple,9.80,1110.49,292.50,18.97,10.40,0.67,23.30,1.56,N/A,N/A,10.70,1.19,N/A,3.42,42.77,-86.11,
5881,Norway maple,9.00,956.34,241.40,15.66,9.30,0.60,20.60,1.38,N/A,N/A,9.50,1.05,N/A,3.03,42.77,-86.11,
5882,Norway maple,8.90,937.99,235.40,15.27,9.20,0.60,20.20,1.35,N/A,N/A,9.30,1.03,N/A,2.97,42.77,-86.11,
5883,Norway maple,9.90,1130.68,299.10,19.40,10.50,0.68,23.50,1.57,N/A,N/A,10.80,1.20,N/A,3.45,42.77,-86.11,
5884,Norway maple,13.90,2106.43,642.30,41.66,16.10,1.05,35.50,2.37,N/A,N/A,16.30,1.81,N/A,5.23,42.77,-86.11,
5885,Norway maple,10.30,1213.50,326.90,21.20,11.00,0.72,24.80,1.66,N/A,N/A,11.40,1.26,N/A,3.63,42.77,-86.10,
5886,Norway maple,22.70,5407.58,1942.00,125.97,30.10,1.95,55.50,3.71,N/A,N/A,25.50,2.82,N/A,8.48,42.77,-86.10,
5887,Norway maple,16.10,2782.90,894.20,58.00,19.40,1.26,39.80,2.66,N/A,N/A,18.30,2.02,N/A,5.94,42.77,-86.10,
5888,Norway maple,20.80,4560.46,1594.00,103.39,26.90,1.75,50.50,3.37,N/A,N/A,23.20,2.57,N/A,7.69,42.77,-86.10,
5889,Norway maple,21.70,4952.51,1754.30,113.79,28.40,1.84,52.80,3.53,N/A,N/A,24.30,2.69,N/A,8.06,42.77,-86.11,
5890,Norway maple,24.20,6128.63,2244.50,145.58,32.60,2.12,59.10,3.95,N/A,N/A,27.20,3.01,N/A,9.07,42.77,-86.11,
5891,Norway maple,21.90,5041.88,1790.90,116.16,28.70,1.86,53.40,3.57,N/A,N/A,24.50,2.71,N/A,8.14,42.77,-86.11,
5892,Norway maple,23.20,5642.81,2039.60,132.30,30.90,2.01,56.60,3.78,N/A,N/A,26.00,2.88,N/A,8.67,42.77,-86.11,
5893,Norway maple,12.60,1753.34,515.00,33.40,14.20,0.92,32.20,2.16,N/A,N/A,14.80,1.64,N/A,4.72,42.77,-86.11,
5894,Norway maple,19.20,3904.50,1331.00,86.34,24.30,1.58,42.90,2.87,N/A,N/A,19.70,2.18,N/A,6.62,42.77,-86.11,
5895,Norway maple,13.50,1994.10,601.40,39.01,15.50,1.01,34.50,2.31,N/A,N/A,15.90,1.76,N/A,5.07,42.77,-86.11,
5896,Norway maple,6.30,407.18,108.40,7.03,6.00,0.39,11.90,0.80,N/A,N/A,5.50,0.61,N/A,1.79,42.77,-86.11,
5897,Norway maple,8.30,832.22,201.20,13.05,8.40,0.55,18.00,1.20,N/A,N/A,8.30,0.92,N/A,2.67,42.77,-86.11,
5898,Norway maple,9.40,1031.78,266.20,17.27,9.80,0.64,21.80,1.46,N/A,N/A,10.00,1.11,N/A,3.21,42.77,-86.11,
5899,Norway maple,9.70,1090.51,285.80,18.54,10.20,0.66,23.00,1.54,N/A,N/A,10.60,1.17,N/A,3.38,42.77,-86.11,
5900,Norway maple,12.30,1676.78,487.40,31.62,13.80,0.90,31.10,2.08,N/A,N/A,14.30,1.58,N/A,4.56,42.77,-86.11,
5901,Norway maple,6.20,394.35,104.50,6.78,5.80,0.38,11.50,0.77,N/A,N/A,5.30,0.58,N/A,1.73,42.77,-86.10,
5902,Norway maple,9.70,1090.51,285.80,18.54,10.20,0.66,22.90,1.53,N/A,N/A,10.50,1.16,N/A,3.36,42.77,-86.10,
5903,Norway maple,2.70,74.79,16.30,1.06,2.10,0.14,3.80,0.25,N/A,N/A,1.70,0.19,N/A,0.58,42.77,-86.10,
5904,Norway maple,12.70,1779.27,524.10,33.99,14.40,0.93,32.40,2.17,N/A,N/A,14.90,1.65,N/A,4.75,42.77,-86.10,
5905,Norway maple,10.00,1151.08,306.00,19.85,10.60,0.69,24.10,1.61,N/A,N/A,11.10,1.22,N/A,3.52,42.77,-86.11,
5906,Norway maple,19.90,4185.03,1442.80,93.59,25.40,1.65,43.10,2.88,N/A,N/A,19.80,2.19,N/A,6.73,42.77,-86.11,
5907,Norway maple,16.30,2849.32,919.60,59.65,19.70,1.28,40.10,2.68,N/A,N/A,18.40,2.04,N/A,6.00,42.77,-86.11,
5908,Norway maple,19.30,3943.96,1346.10,87.32,24.50,1.59,42.90,2.87,N/A,N/A,19.70,2.18,N/A,6.63,42.77,-86.11,
5909,Norway maple,8.40,849.34,206.70,13.41,8.50,0.55,18.40,1.23,N/A,N/A,8.50,0.94,N/A,2.72,42.77,-86.10,
5910,Norway maple,16.90,3053.48,997.70,64.72,20.70,1.34,40.90,2.74,N/A,N/A,18.80,2.08,N/A,6.16,42.77,-86.10,
5911,Norway maple,24.60,6328.70,2328.90,151.06,33.30,2.16,59.90,4.00,N/A,N/A,27.60,3.05,N/A,9.22,42.77,-86.10,
5912,Norway maple,16.30,2849.32,919.60,59.65,19.70,1.28,40.10,2.68,N/A,N/A,18.40,2.04,N/A,6.00,42.77,-86.10,
5913,Norway maple,21.70,4952.51,1754.30,113.79,28.40,1.84,52.80,3.53,N/A,N/A,24.30,2.69,N/A,8.06,42.77,-86.10,
5914,Norway maple,18.00,3446.96,1150.60,74.63,22.40,1.45,42.10,2.82,N/A,N/A,19.40,2.14,N/A,6.41,42.77,-86.10,
5915,Norway maple,5.00,256.47,64.60,4.19,4.50,0.29,8.40,0.56,N/A,N/A,3.90,0.43,N/A,1.28,42.77,-86.10,
5916,Norway maple,21.40,4819.98,1699.70,110.25,27.90,1.81,52.00,3.48,N/A,N/A,23.90,2.65,N/A,7.94,42.77,-86.10,
5917,Norway maple,15.00,2432.26,762.40,49.45,17.80,1.15,37.90,2.53,N/A,N/A,17.40,1.93,N/A,5.61,42.77,-86.10,
5918,Norway maple,18.00,3446.96,1150.60,74.63,22.40,1.45,42.10,2.82,N/A,N/A,19.40,2.14,N/A,6.41,42.77,-86.10,
5919,Norway maple,14.50,2281.08,706.60,45.83,17.00,1.10,37.00,2.47,N/A,N/A,17.00,1.88,N/A,5.46,42.77,-86.10,
5920,Norway maple,15.80,2684.81,857.10,55.60,19.00,1.23,39.30,2.63,N/A,N/A,18.10,2.00,N/A,5.85,42.77,-86.10,
5921,Norway maple,6.50,433.44,116.30,7.54,6.20,0.40,12.40,0.83,N/A,N/A,5.70,0.63,N/A,1.87,42.77,-86.10,
5922,Norway maple,2.10,65.25,9.30,0.60,1.50,0.10,2.80,0.19,N/A,N/A,1.30,0.14,N/A,0.43,42.77,-86.10,
5923,Norway maple,11.90,1577.56,452.80,29.37,13.20,0.86,30.10,2.01,N/A,N/A,13.90,1.53,N/A,4.41,42.77,-86.10,
5924,Norway maple,2.00,65.25,8.30,0.54,1.50,0.09,2.80,0.18,N/A,N/A,1.30,0.14,N/A,0.42,42.77,-86.11,
5925,Norway maple,11.00,1366.32,379.00,24.58,12.00,0.78,27.20,1.82,N/A,N/A,12.50,1.39,N/A,3.98,42.78,-86.10,
5926,Norway maple,9.80,1110.49,292.30,18.96,10.40,0.67,23.10,1.54,N/A,N/A,10.60,1.18,N/A,3.39,42.78,-86.10,
5927,Norway maple,3.00,92.33,20.50,1.33,2.40,0.15,4.20,0.28,N/A,N/A,1.90,0.21,N/A,0.64,42.78,-86.10,
5928,Norway maple,8.20,815.31,195.90,12.71,8.30,0.54,17.80,1.19,N/A,N/A,8.20,0.91,N/A,2.64,42.77,-86.11,
5929,Norway maple,2.40,65.25,12.50,0.81,1.80,0.12,3.30,0.22,N/A,N/A,1.50,0.17,N/A,0.50,42.78,-86.10,
5930,Norway maple,13.10,1885.05,562.00,36.45,15.00,0.97,33.60,2.24,N/A,N/A,15.40,1.71,N/A,4.92,42.77,-86.10,
5931,Norway maple,9.60,1070.72,279.30,18.12,10.10,0.66,22.70,1.52,N/A,N/A,10.50,1.16,N/A,3.33,42.77,-86.11,
5932,Norway maple,13.30,1939.16,581.50,37.72,15.20,0.99,34.10,2.28,N/A,N/A,15.70,1.74,N/A,5.01,42.77,-86.11,
5933,Norway maple,10.50,1256.14,341.60,22.16,11.30,0.73,25.80,1.72,N/A,N/A,11.90,1.31,N/A,3.77,42.77,-86.10,
5934,Norway maple,12.80,1805.41,533.30,34.59,14.50,0.94,32.60,2.18,N/A,N/A,15.00,1.66,N/A,4.79,42.77,-86.11,
5935,Norway maple,12.90,1831.75,542.80,35.21,14.70,0.95,32.90,2.20,N/A,N/A,15.10,1.67,N/A,4.83,42.77,-86.11,
5936,Norway maple,12.50,1727.61,505.50,32.79,14.10,0.91,31.70,2.12,N/A,N/A,14.60,1.61,N/A,4.65,42.77,-86.11,
5937,Norway maple,2.40,65.25,12.50,0.81,1.80,0.12,3.30,0.22,N/A,N/A,1.50,0.17,N/A,0.50,42.77,-86.10,
5938,Norway maple,12.30,1676.78,487.70,31.63,13.80,0.90,31.30,2.09,N/A,N/A,14.40,1.59,N/A,4.58,42.77,-86.10,
5939,Norway maple,12.20,1651.66,478.70,31.05,13.70,0.89,31.00,2.07,N/A,N/A,14.30,1.58,N/A,4.54,42.77,-86.10,
5940,Norway maple,1.60,65.25,5.10,0.33,1.10,0.07,2.20,0.15,N/A,N/A,1.00,0.11,N/A,0.33,42.77,-86.10,
5941,Norway maple,1.80,65.25,6.60,0.43,1.30,0.08,2.40,0.16,N/A,N/A,1.10,0.12,N/A,0.37,42.77,-86.10,
5942,Norway maple,6.30,407.18,108.40,7.03,6.00,0.39,11.90,0.80,N/A,N/A,5.50,0.61,N/A,1.79,42.77,-86.10,
5943,Norway maple,14.90,2401.62,751.10,48.72,17.60,1.14,37.70,2.52,N/A,N/A,17.40,1.92,N/A,5.58,42.77,-86.10,
5944,Norway maple,9.80,1110.49,292.50,18.97,10.40,0.67,23.30,1.56,N/A,N/A,10.70,1.19,N/A,3.42,42.77,-86.11,
5945,Norway maple,5.90,357.11,93.60,6.07,5.50,0.36,10.80,0.72,N/A,N/A,5.00,0.55,N/A,1.63,42.78,-86.10,
5946,Norway maple,8.20,815.31,195.90,12.71,8.30,0.54,18.00,1.20,N/A,N/A,8.30,0.91,N/A,2.65,42.78,-86.10,
5947,Norway maple,2.60,69.35,14.90,0.97,2.00,0.13,3.50,0.24,N/A,N/A,1.60,0.18,N/A,0.54,42.78,-86.10,
5948,Norway maple,2.90,86.28,19.10,1.24,2.30,0.15,4.10,0.27,N/A,N/A,1.90,0.21,N/A,0.63,42.78,-86.11,
5949,Norway maple,14.90,2401.62,751.10,48.72,17.60,1.14,37.60,2.52,N/A,N/A,17.30,1.92,N/A,5.57,42.78,-86.10,
5950,Norway maple,19.00,3826.19,1299.70,84.30,24.00,1.56,42.80,2.86,N/A,N/A,19.70,2.18,N/A,6.59,42.77,-86.10,
5951,Norway maple,13.40,1966.53,591.30,38.35,15.40,1.00,34.20,2.29,N/A,N/A,15.70,1.74,N/A,5.02,42.78,-86.10,
5952,Norway maple,7.90,765.80,180.20,11.69,7.90,0.51,17.00,1.14,N/A,N/A,7.80,0.87,N/A,2.52,42.78,-86.10,
5953,Norway maple,19.10,3865.24,1315.10,85.30,24.10,1.57,42.80,2.86,N/A,N/A,19.70,2.18,N/A,6.61,42.78,-86.10,
5954,Norway maple,19.60,4063.57,1394.00,90.42,24.90,1.62,43.00,2.88,N/A,N/A,19.80,2.19,N/A,6.68,42.77,-86.10,
5955,Norway maple,20.70,4517.93,1576.80,102.28,26.70,1.73,50.20,3.36,N/A,N/A,23.10,2.55,N/A,7.65,42.77,-86.10,
5956,Norway maple,22.90,5501.06,1980.80,128.48,30.40,1.97,56.00,3.75,N/A,N/A,25.80,2.85,N/A,8.57,42.78,-86.10,
5957,Norway maple,20.00,4225.92,1459.10,94.65,25.60,1.66,43.10,2.88,N/A,N/A,19.80,2.19,N/A,6.74,42.78,-86.10,
5958,Norway maple,15.80,2684.81,857.50,55.62,19.00,1.23,39.40,2.63,N/A,N/A,18.10,2.00,N/A,5.87,42.78,-86.10,
5959,Norway maple,3.40,118.59,27.20,1.76,2.80,0.18,4.90,0.33,N/A,N/A,2.20,0.25,N/A,0.75,42.78,-86.10,
5960,Norway maple,3.50,125.67,29.00,1.88,2.90,0.19,5.10,0.34,N/A,N/A,2.30,0.26,N/A,0.78,42.77,-86.10,
5961,Norway maple,9.70,1090.51,285.60,18.53,10.20,0.66,22.80,1.53,N/A,N/A,10.50,1.16,N/A,3.35,42.77,-86.10,
5962,Norway maple,13.20,1912.00,571.60,37.07,15.10,0.98,33.70,2.26,N/A,N/A,15.50,1.72,N/A,4.95,42.77,-86.10,
5963,Norway maple,10.00,1151.08,306.00,19.85,10.60,0.69,24.10,1.61,N/A,N/A,11.10,1.22,N/A,3.52,42.77,-86.10,
5964,Norway maple,9.70,1090.51,285.60,18.53,10.20,0.66,22.80,1.53,N/A,N/A,10.50,1.16,N/A,3.35,42.77,-86.10,
5965,Norway maple,8.40,849.34,206.90,13.42,8.50,0.55,18.70,1.25,N/A,N/A,8.60,0.95,N/A,2.75,42.77,-86.10,
5966,Norway maple,9.80,1110.49,292.50,18.97,10.40,0.67,23.30,1.56,N/A,N/A,10.70,1.19,N/A,3.42,42.77,-86.10,
5967,Norway maple,9.00,956.34,241.40,15.66,9.30,0.60,20.60,1.38,N/A,N/A,9.50,1.05,N/A,3.03,42.78,-86.10,
5968,Norway maple,3.80,148.14,34.80,2.26,3.20,0.21,5.50,0.37,N/A,N/A,2.50,0.28,N/A,0.86,42.78,-86.10,
5969,Norway maple,16.70,2984.61,971.50,63.02,20.40,1.32,40.80,2.73,N/A,N/A,18.80,2.07,N/A,6.12,42.77,-86.10,
5970,Norway maple,9.00,956.34,241.30,15.65,9.30,0.60,20.40,1.36,N/A,N/A,9.40,1.04,N/A,3.01,42.77,-86.10,
5971,Norway maple,19.00,3826.19,1299.20,84.27,24.00,1.56,42.70,2.86,N/A,N/A,19.70,2.17,N/A,6.59,42.77,-86.10,
5972,Norway maple,8.00,782.10,185.20,12.01,8.00,0.52,17.00,1.14,N/A,N/A,7.80,0.87,N/A,2.53,42.77,-86.10,
